GDALT,NE,DNE,TR,DTR,UT1_UNIX,AZM,ELM,TIME,COR_NE
77.08,8.62359e+08,8.62234e+08,1,0,1.50468e+09,359.45,30,2017-09-06 07:35:20.400,1.72472e+09
81.33,5.1165e+09,5.06794e+09,1,0,1.50468e+09,359.45,30,2017-09-06 07:35:20.400,1.0233e+10
87.16,4.5936e+09,4.59238e+07,1,0,1.50468e+09,359.45,30,2017-09-06 07:35:20.400,9.1872e+09
92.81,2.77852e+10,2.54662e+09,1,0,1.50468e+09,359.45,30,2017-09-06 07:35:20.400,5.55704e+10
98.03,4.08216e+10,3.72632e+09,1,0,1.50468e+09,359.45,30,2017-09-06 07:35:20.400,8.16432e+10
101.61,5.63895e+10,3.18897e+09,1,0,1.50468e+09,359.45,30,2017-09-06 07:35:20.400,1.12779e+11
107.56,6.66345e+10,2.2121e+09,1,0,1.50468e+09,359.45,30,2017-09-06 07:35:20.400,1.33269e+11
113.99,6.39552e+10,2.56174e+09,1,0,1.50468e+09,359.45,30,2017-09-06 07:35:20.400,1.2791e+11
121.36,8.43678e+10,7.28457e+09,1.4504,0.2208,1.50468e+09,359.45,30,2017-09-06 07:35:20.400,2.06735e+11
128.32,6.68204e+10,7.01042e+09,0.77,0.1792,1.50468e+09,359.45,30,2017-09-06 07:35:20.400,1.18272e+11
135.74,5.26544e+10,7.00221e+09,0.6482,0.2169,1.50468e+09,359.45,30,2017-09-06 07:35:20.400,8.6785e+10
144.95,9.30316e+10,6.61377e+09,1.4141,0.1699,1.50468e+09,359.45,30,2017-09-06 07:35:20.400,2.24588e+11
155.37,1.02899e+11,6.99943e+09,1.0434,0.1387,1.50468e+09,359.45,30,2017-09-06 07:35:20.400,2.10264e+11
165.86,1.46719e+11,7.52065e+09,1.7188,0.1487,1.50468e+09,359.45,30,2017-09-06 07:35:20.400,3.989e+11
178.83,1.5967e+11,6.92476e+09,1.8317,0.1302,1.50468e+09,359.45,30,2017-09-06 07:35:20.400,4.52138e+11
193.52,1.55138e+11,7.2927e+09,1.6666,0.1318,1.50468e+09,359.45,30,2017-09-06 07:35:20.400,4.13691e+11
207.78,2.07572e+11,7.70941e+09,2.1484,0.1245,1.50468e+09,359.45,30,2017-09-06 07:35:20.400,6.5352e+11
222.8,2.78011e+11,8.90135e+09,2.2586,0.1098,1.50468e+09,359.45,30,2017-09-06 07:35:20.400,9.05927e+11
239.13,2.74505e+11,8.3959e+09,2.5333,0.1148,1.50468e+09,359.45,30,2017-09-06 07:35:20.400,9.69909e+11
257.97,2.56136e+11,8.3795e+09,2.6344,0.1278,1.50468e+09,359.45,30,2017-09-06 07:35:20.400,9.30901e+11
276.73,2.44091e+11,9.07669e+09,2.3582,0.131,1.50468e+09,359.45,30,2017-09-06 07:35:20.400,8.19706e+11
295.76,2.15947e+11,9.10214e+09,2.3002,0.1442,1.50468e+09,359.45,30,2017-09-06 07:35:20.400,7.12668e+11
