dates,AE,SYMH
2017-09-06 00:00:00,739.0,46.0
2017-08-01 00:00:00,619.0,17.0
2017-08-02 00:00:00,562.0,13.0
2017-08-03 00:00:00,889.0,28.0
2017-08-04 00:00:00,1343.0,51.0
2017-08-05 00:00:00,912.0,-23.0
2017-08-06 00:00:00,1451.0,-22.0
2017-08-07 00:00:00,584.0,-13.0
2017-08-08 00:00:00,442.0,-10.0
2017-08-09 00:00:00,400.0,13.0
2017-08-10 00:00:00,406.0,15.0
2017-08-11 00:00:00,583.0,22.0
2017-08-12 00:00:00,630.0,21.0
2017-08-13 00:00:00,631.0,-12.0
2017-08-14 00:00:00,481.0,-8.0
2017-08-15 00:00:00,207.0,17.0
2017-08-16 00:00:00,398.0,17.0
2017-08-17 00:00:00,1847.0,-36.0
2017-08-18 00:00:00,1536.0,-33.0
2017-08-19 00:00:00,1282.0,-40.0
2017-08-20 00:00:00,1413.0,-46.0
2017-08-21 00:00:00,859.0,-24.0
2017-08-22 00:00:00,1717.0,-39.0
2017-08-23 00:00:00,1584.0,-52.0
2017-08-24 00:00:00,974.0,-39.0
2017-08-25 00:00:00,535.0,-19.0
2017-08-26 00:00:00,337.0,-17.0
2017-08-27 00:00:00,910.0,-44.0
2017-08-28 00:00:00,355.0,-33.0
2017-08-29 00:00:00,503.0,26.0
2017-08-30 00:00:00,417.0,-12.0
2017-08-31 00:00:00,1258.0,78.0
2017-09-01 00:00:00,1099.0,-23.0
2017-09-02 00:00:00,1738.0,-28.0
2017-09-03 00:00:00,748.0,13.0
2017-09-04 00:00:00,1122.0,23.0
2017-09-05 00:00:00,776.0,11.0
2017-09-07 00:00:00,2447.0,-95.0
2017-09-08 00:00:00,2677.0,-146.0
2017-09-09 00:00:00,477.0,-74.0
2017-09-10 00:00:00,642.0,-44.0
2017-09-11 00:00:00,767.0,-28.0
2017-09-12 00:00:00,971.0,-55.0
2017-09-13 00:00:00,1226.0,-65.0
2017-09-14 00:00:00,1450.0,-36.0
2017-09-15 00:00:00,1426.0,-44.0
2017-09-16 00:00:00,1700.0,-44.0
2017-09-17 00:00:00,1433.0,-25.0
2017-09-18 00:00:00,1201.0,-36.0
2017-09-19 00:00:00,701.0,-19.0
2017-09-20 00:00:00,613.0,-24.0
2017-09-21 00:00:00,569.0,-12.0
2017-09-22 00:00:00,608.0,-9.0
2017-09-23 00:00:00,544.0,12.0
2017-09-24 00:00:00,480.0,32.0
2017-09-25 00:00:00,345.0,17.0
2017-09-26 00:00:00,237.0,40.0
2017-09-27 00:00:00,1276.0,-52.0
2017-09-28 00:00:00,1559.0,-74.0
2017-09-29 00:00:00,822.0,-33.0
2017-07-01 00:00:00,980.0,34.0
2017-07-02 00:00:00,1311.0,-29.0
2017-07-03 00:00:00,465.0,27.0
2017-07-04 00:00:00,372.0,-9.0
2017-07-05 00:00:00,109.0,-7.0
2017-07-06 00:00:00,642.0,-20.0
2017-07-07 00:00:00,361.0,-16.0
2017-07-08 00:00:00,214.0,-10.0
2017-07-09 00:00:00,1084.0,-35.0
2017-07-10 00:00:00,767.0,-37.0
2017-07-11 00:00:00,531.0,-17.0
2017-07-12 00:00:00,285.0,-14.0
2017-07-13 00:00:00,298.0,-6.0
2017-07-14 00:00:00,251.0,15.0
2017-07-15 00:00:00,281.0,10.0
2017-07-16 00:00:00,1748.0,86.0
2017-07-17 00:00:00,1533.0,-60.0
2017-07-18 00:00:00,659.0,-41.0
2017-07-19 00:00:00,372.0,-31.0
2017-07-20 00:00:00,595.0,-20.0
2017-07-21 00:00:00,958.0,-41.0
2017-07-22 00:00:00,1642.0,-28.0
2017-07-23 00:00:00,1057.0,-31.0
2017-07-24 00:00:00,1010.0,-25.0
2017-07-25 00:00:00,873.0,-26.0
2017-07-26 00:00:00,1072.0,-25.0
2017-07-27 00:00:00,491.0,-23.0
2017-07-28 00:00:00,669.0,-25.0
2017-07-29 00:00:00,395.0,-25.0
2017-07-30 00:00:00,276.0,-16.0
2017-07-31 00:00:00,289.0,11.0
